,algorithm,dataset_name,insertion,deletion
37,sattler,FMNIST overlaping imbalanced,0.6019462839658067,0.5064852631416042
38,kmeans,FMNIST overlaping imbalanced,0.6041606339992258,0.5029501188377038
39,affinity,FMNIST overlaping imbalanced,0.5169062923231408,0.5277989471548272
40,meanshift,FMNIST overlaping imbalanced,0.628007885607829,0.5368612087866104
41,HDBSCAN,FMNIST overlaping imbalanced,0.6613900424459427,0.43641098032843256
42,baseline,FMNIST nonoverlaping balanced,0.4746916810246609,0.3377787324106723
43,briggs,FMNIST nonoverlaping balanced,0.5638464955666038,0.37477158107400294
44,sattler,FMNIST nonoverlaping balanced,0.6562843645744604,0.5680047329543882
45,kmeans,FMNIST nonoverlaping balanced,0.733159963892315,0.567173591595811
46,affinity,FMNIST nonoverlaping balanced,0.5289754644150056,0.5248878956076315
47,meanshift,FMNIST nonoverlaping balanced,0.7143596256493164,0.5957114612250447
48,HDBSCAN,FMNIST nonoverlaping balanced,0.7262259062158036,0.6387604397155382
49,baseline,FMNIST nonoverlaping imbalanced,0.5508706077694426,0.3324353479736958
50,briggs,FMNIST nonoverlaping imbalanced,0.5250866763006717,0.3375580594751777
51,sattler,FMNIST nonoverlaping imbalanced,0.730322663178671,0.5996500955269513
52,kmeans,FMNIST nonoverlaping imbalanced,0.7542952275694597,0.6610700399722708
53,affinity,FMNIST nonoverlaping imbalanced,0.6430573352910653,0.5314750932202843
54,meanshift,FMNIST nonoverlaping imbalanced,0.7492662007346541,0.7247297985616715
55,HDBSCAN,FMNIST nonoverlaping imbalanced,0.7916035874943311,0.5997872612768785
56,baseline,CIFAR10 overlaping balanced,0.3913326012622186,0.2239097311644178
57,briggs,CIFAR10 overlaping balanced,0.46131506313785486,0.34620806378008134
58,sattler,CIFAR10 overlaping balanced,0.3967792131031686,0.241512267884372
59,kmeans,CIFAR10 overlaping balanced,0.3988585395259776,0.3294644831132523
60,affinity,CIFAR10 overlaping balanced,0.3999379541418784,0.25386706985536583
61,meanshift,CIFAR10 overlaping balanced,0.3817890311067191,0.238694589064473
62,HDBSCAN,CIFAR10 overlaping balanced,0.38913681035038383,0.29515349477496455
63,baseline,CIFAR10 overlaping imbalanced,0.3680896168992543,0.2878870697494027
64,briggs,CIFAR10 overlaping imbalanced,0.4949468735975644,0.4169791652533659
65,sattler,CIFAR10 overlaping imbalanced,0.3689745898265131,0.2638128095337315
66,kmeans,CIFAR10 overlaping imbalanced,0.43353880553094754,0.35218863394654804
67,affinity,CIFAR10 overlaping imbalanced,0.45252037356592034,0.3748254121735909
68,meanshift,CIFAR10 overlaping imbalanced,0.42009072844544626,0.365926617828734
69,HDBSCAN,CIFAR10 overlaping imbalanced,0.42400448791615997,0.3679543195266815
70,baseline,CIFAR10 nonoverlaping balanced,0.3636424589784953,0.2387286441504723
71,briggs,CIFAR10 nonoverlaping balanced,0.5672318532868151,0.5137664154754952
72,sattler,CIFAR10 nonoverlaping balanced,0.3239364606425332,0.2072979927587946
73,kmeans,CIFAR10 nonoverlaping balanced,0.4403214650022686,0.41520883018800925
74,affinity,CIFAR10 nonoverlaping balanced,0.3190972220774303,0.2517406167962862
75,meanshift,CIFAR10 nonoverlaping balanced,0.519348227374372,0.48429785425087857
76,HDBSCAN,CIFAR10 nonoverlaping balanced,0.47854663750713317,0.47603763513117453
77,baseline,CIFAR10 nonoverlaping imbalanced,0.3727009629991185,0.2529698358017867
78,briggs,CIFAR10 nonoverlaping imbalanced,0.5896045916097031,0.5382932333111026
79,sattler,CIFAR10 nonoverlaping imbalanced,0.3649116961061718,0.2581372970065403
80,kmeans,CIFAR10 nonoverlaping imbalanced,0.5582468657094745,0.48649130173904265
81,affinity,CIFAR10 nonoverlaping imbalanced,0.3879502957701792,0.2723070318698972
82,meanshift,CIFAR10 nonoverlaping imbalanced,0.5970454264392637,0.5433988402521754
83,HDBSCAN,CIFAR10 nonoverlaping imbalanced,0.5980996221882083,0.5714005787200365
84,baseline,PATHMNIST overlaping balanced,0.2250952815892318,0.2018243675262755
85,briggs,PATHMNIST overlaping balanced,0.19603967908460243,0.1700167191693503
86,sattler,PATHMNIST overlaping balanced,0.1700862235380927,0.1786525739381168
87,kmeans,PATHMNIST overlaping balanced,0.22520802167420986,0.1962775691579842
88,affinity,PATHMNIST overlaping balanced,0.1915099514130587,0.1617726284651112
89,meanshift,PATHMNIST overlaping balanced,0.21937001053135297,0.1861808037897233
90,HDBSCAN,PATHMNIST overlaping balanced,0.2355157161725159,0.19856339378680044
91,baseline,PATHMNIST overlaping imbalanced,0.1981678301914176,0.192229054393046
92,briggs,PATHMNIST overlaping imbalanced,0.4369102880495281,0.42311413800419856
93,sattler,PATHMNIST overlaping imbalanced,0.3426144939659429,0.3216112141914298
94,kmeans,PATHMNIST overlaping imbalanced,0.36584430668067514,0.35235636587912295
95,affinity,PATHMNIST overlaping imbalanced,0.4019354893917698,0.3975389875688433
96,meanshift,PATHMNIST overlaping imbalanced,0.34352578244993,0.33128954327184523
97,HDBSCAN,PATHMNIST overlaping imbalanced,0.3810661170033278,0.3638156485676653
98,baseline,PATHMNIST nonoverlaping balanced,0.1465166044621924,0.1617063419833151
99,briggs,PATHMNIST nonoverlaping balanced,0.37629381979770876,0.36811185476650155
100,sattler,PATHMNIST nonoverlaping balanced,0.1632245183946803,0.144459585133883
101,kmeans,PATHMNIST nonoverlaping balanced,0.36033692713588567,0.34096811667907906
102,affinity,PATHMNIST nonoverlaping balanced,0.2176592557864916,0.20909459678689568
103,meanshift,PATHMNIST nonoverlaping balanced,0.3236239166494851,0.3181159696451385
104,HDBSCAN,PATHMNIST nonoverlaping balanced,0.3460216234905784,0.33321909745036793
105,baseline,PATHMNIST nonoverlaping imbalanced,0.1396766261053077,0.1081714350819453
106,briggs,PATHMNIST nonoverlaping imbalanced,0.4535920385448877,0.43068281359147387
107,sattler,PATHMNIST nonoverlaping imbalanced,0.4128010497189803,0.4307615940540925
108,kmeans,PATHMNIST nonoverlaping imbalanced,0.5745763901829721,0.5630183531796679
109,affinity,PATHMNIST nonoverlaping imbalanced,0.2882855029925805,0.2873793909208073
110,meanshift,PATHMNIST nonoverlaping imbalanced,0.21038660775975646,0.1889705137513948
111,HDBSCAN,PATHMNIST nonoverlaping imbalanced,0.5139663645649363,0.5028214656909886
112,baseline,BLOODMNIST overlaping balanced,0.0885172857470516,0.0790279866726551
113,briggs,BLOODMNIST overlaping balanced,0.14404813035543534,0.1316243832605892
114,sattler,BLOODMNIST overlaping balanced,0.1010412740826118,0.0823609378491583
115,kmeans,BLOODMNIST overlaping balanced,0.166597565614614,0.14581848899362174
116,affinity,BLOODMNIST overlaping balanced,0.08720975937297885,0.07166231632417974
117,meanshift,BLOODMNIST overlaping balanced,0.1548825954165709,0.13514682604873496
118,HDBSCAN,BLOODMNIST overlaping balanced,0.18120416527791572,0.16973232340659486
119,baseline,BLOODMNIST overlaping imbalanced,0.3505581913267876,0.3009344485342018
120,briggs,BLOODMNIST overlaping imbalanced,0.3435936424382913,0.3319891143964145
121,sattler,BLOODMNIST overlaping imbalanced,0.1678636258022958,0.0794823438571363
122,kmeans,BLOODMNIST overlaping imbalanced,0.296124657858199,0.2903943212320342
123,affinity,BLOODMNIST overlaping imbalanced,0.22858439826571914,0.22102518496376578
124,meanshift,BLOODMNIST overlaping imbalanced,0.29535460550609327,0.2813257062035473
125,HDBSCAN,BLOODMNIST overlaping imbalanced,0.2876491659743435,0.27324779068761246
126,baseline,BLOODMNIST nonoverlaping balanced,0.0798616522779947,0.0596279008968105
127,briggs,BLOODMNIST nonoverlaping balanced,0.2999793386156784,0.29271555035009034
128,sattler,BLOODMNIST nonoverlaping balanced,0.0723962038309247,0.065538186390113
129,kmeans,BLOODMNIST nonoverlaping balanced,0.28273794239690175,0.2789957842751227
130,affinity,BLOODMNIST nonoverlaping balanced,0.30690049929152013,0.2737888865487025
131,meanshift,BLOODMNIST nonoverlaping balanced,0.32485787758852147,0.3206679979729015
132,HDBSCAN,BLOODMNIST nonoverlaping balanced,0.31471696826751605,0.3076920430062005
133,baseline,BLOODMNIST nonoverlaping imbalanced,0.1469392296133403,0.1436002009838486
134,briggs,BLOODMNIST nonoverlaping imbalanced,0.40145513776246516,0.39681179481479567
135,sattler,BLOODMNIST nonoverlaping imbalanced,0.1329024765307443,0.1255005274148891
136,kmeans,BLOODMNIST nonoverlaping imbalanced,0.5243302806848646,0.5209072591101189
137,affinity,BLOODMNIST nonoverlaping imbalanced,0.0817791384399192,0.0711032247938683
138,meanshift,BLOODMNIST nonoverlaping imbalanced,0.47283605546077895,0.46966339693559894
139,HDBSCAN,BLOODMNIST nonoverlaping imbalanced,0.4520210786973848,0.4487461262308959
